,date,name,tweet
30,2014-12-22,중소벤처기업부,"@jsh5209 창업넷에 응원 댓글 남겨주셔서 감사합니다! 22일 당첨자로 선정되셨습니다~! DM으로 ""성함""과 ""연락처""보내주세요 ;-)"
31,2014-12-22,중소벤처기업부,"@grean39 창업넷에 응원 댓글 남겨주셔서 감사합니다! 22일 당첨자로 선정되셨습니다~! DM으로 ""성함""과 ""연락처""보내주세요 ;-)"
32,2014-12-22,중소벤처기업부,"@rlarudfud 창업넷에 응원 댓글 남겨주셔서 감사합니다! 22일 당첨자로 선정되셨습니다~! DM으로 ""성함""과 ""연락처""보내주세요 ;-)"
33,2014-12-22,중소벤처기업부,"@xingzuo94 창업넷에 응원 댓글 남겨주셔서 감사합니다! 22일 당첨자로 선정되셨습니다~! DM으로 ""성함""과 ""연락처""보내주세요 ;-)"
34,2014-12-22,중소벤처기업부,"관광명소로 사랑받고 있는, 손님도, 주인도 2030세대가 주류를 이루는 이 곳.  전주남부시장 2층 레알뉴타운 청년몰입니다. ""적당히 벌고 아주 잘살자!""고 이야기하는 젊은 4인의 사장님 이야기를 전합니다&gt;&gt;  http://t.co/S7Ehb3EfNB"
35,2014-12-22,중소벤처기업부,[이벤트] 멋지게 달라진 '창업넷' 에게 응원 답글 남겨주세요! 22일과 23일 이틀간 응원의 답글 남겨주신분들 중 추첨을 통해 스타벅스 카페라떼를 드립니다!  #오늘과내일_오후_6시_당첨자발표!!  http://t.co/n8xAO92jJs
36,2014-12-22,중소벤처기업부,"중소기업 휴먼다큐 '새벽이야기' - ""기타 치는 대표님""(벨리도너츠 정연택 대표편):  http://t.co/33xUNyxsEx"
37,2014-12-22,중소벤처기업부,"동영상을 @YouTube 재생목록  http://t.co/33xUNyxsEx 중소기업 휴먼다큐 '새벽이야기' - ""기타 치는"
38,2014-12-22,중소벤처기업부,"창업준비,교육, 정보제공과 온라인 법인설립까지! 이 모든 것 이제 ‘창업넷’에서 한 번에!! 수요자 중심의 ‘one-gate 플랫폼’으로 개편한 창업넷 구경 갈까요?  http://t.co/Tz3BGSuNxg  http://t.co/xbRtakIFL7"
39,2014-12-19,중소벤처기업부,"힘들여, 공들여 개발한 중소기업의 기술들! 빠져나갈 틈새 없이 지켜드리겠습니다!#중기청_공정위_경찰청_특허청_크로스!! #완벽_쉴드막_MOU체결!  http://t.co/4GCykPv3BC  http://t.co/9Bxt0JvahX"
40,2014-12-19,중소벤처기업부,[이벤트] 중소기업청과 함께하는 사랑의 메시지!  따뜻한 마음이 모이면~ 사랑의 온도가 올라가요!  따뜻한 마음을 모아 응원의 댓글을 달아주세요. &gt;&gt;&gt;  http://t.co/ugbn6Xbe04  http://t.co/qcEj73BTu7
